index,price
2010-11-01,2534.0
2010-12-01,2553.0
2011-01-01,2553.0
2011-02-01,2539.0
2011-03-01,2525.0
2011-04-01,2509.0
2011-05-01,2493.0
2011-06-01,2478.0
2011-07-01,2476.0
2011-08-01,2502.0
2011-09-01,2539.0
2011-10-01,2563.0
2011-11-01,2569.0
2011-12-01,2571.0
2012-01-01,2582.0
2012-02-01,2595.0
2012-03-01,2613.0
2012-04-01,2635.0
2012-05-01,2644.0
2012-06-01,2646.0
2012-07-01,2639.0
2012-08-01,2641.0
2012-09-01,2653.0
2012-10-01,2671.0
2012-11-01,2686.0
2012-12-01,2695.0
2013-01-01,2690.0
2013-02-01,2670.0
2013-03-01,2643.0
2013-04-01,2628.0
2013-05-01,2633.0
2013-06-01,2642.0
2013-07-01,2651.0
2013-08-01,2655.0
2013-09-01,2652.0
2013-10-01,2654.0
2013-11-01,2653.0
2013-12-01,2655.0
2014-01-01,2655.0
2014-02-01,2649.0
2014-03-01,2646.0
2014-04-01,2637.0
2014-05-01,2640.0
2014-06-01,2650.0
2014-07-01,2679.0
2014-08-01,2724.0
2014-09-01,2775.0
2014-10-01,2814.0
2014-11-01,2831.0
2014-12-01,2839.0
2015-01-01,2848.0
2015-02-01,2855.0
2015-03-01,2858.0
2015-04-01,2856.0
2015-05-01,2851.0
2015-06-01,2847.0
2015-07-01,2862.0
2015-08-01,2890.0
2015-09-01,2916.0
2015-10-01,2926.0
2015-11-01,2926.0
2015-12-01,2926.0
2016-01-01,2932.0
2016-02-01,2920.0
2016-03-01,2904.0
2016-04-01,2887.0
2016-05-01,2899.0
2016-06-01,2911.0
2016-07-01,2913.0
2016-08-01,2914.0
2016-09-01,2921.0
2016-10-01,2925.0
2016-11-01,2916.0
2016-12-01,2897.0
2017-01-01,2873.0
2017-02-01,2847.0
2017-03-01,2819.0
2017-04-01,2805.0
2017-05-01,2811.0
2017-06-01,2838.0
2017-07-01,2863.0
2017-08-01,2873.0
2017-09-01,2865.0
2017-10-01,2835.0
2017-11-01,2803.0
2017-12-01,2772.0
2018-01-01,2754.0
2018-02-01,2745.0
2018-03-01,2742.0
2018-04-01,2741.0
2018-05-01,2738.0
2018-06-01,2732.0
2018-07-01,2728.0
2018-08-01,2725.0
2018-09-01,2724.0
2018-10-01,2723.0
2018-11-01,2713.0
2018-12-01,2704.0
2019-01-01,2696.0
2019-02-01,2696.9
2019-03-01,2703.3
2019-04-01,2710.1
2019-05-01,2712.0
2019-06-01,2705.1
2019-07-01,2692.4
2019-08-01,2678.9
2019-09-01,2671.5
2019-10-01,2672.1
2019-11-01,2677.0
2019-12-01,2679.7
2020-01-01,2675.9
2020-02-01,2666.6
2020-03-01,2656.9
2020-04-01,2651.6
2020-05-01,2651.7
2020-06-01,2653.8
2020-07-01,2652.7
2020-08-01,2645.5
2020-09-01,2633.8
2020-10-01,2622.8
2020-11-01,2617.6
2020-12-01,2619.1
2021-01-01,2623.2
2021-02-01,2623.7
2021-03-01,2616.9
2021-04-01,2604.3
