index,price
2010-11-01,1787.0
2010-12-01,1812.0
2011-01-01,1822.0
2011-02-01,1827.0
2011-03-01,1846.0
2011-04-01,1859.0
2011-05-01,1862.0
2011-06-01,1830.0
2011-07-01,1796.0
2011-08-01,1760.0
2011-09-01,1735.0
2011-10-01,1710.0
2011-11-01,1691.0
2011-12-01,1670.0
2012-01-01,1646.0
2012-02-01,1625.0
2012-03-01,1626.0
2012-04-01,1649.0
2012-05-01,1678.0
2012-06-01,1709.0
2012-07-01,1739.0
2012-08-01,1785.0
2012-09-01,1814.0
2012-10-01,1827.0
2012-11-01,1814.0
2012-12-01,1806.0
2013-01-01,1800.0
2013-02-01,1800.0
2013-03-01,1796.0
2013-04-01,1803.0
2013-05-01,1816.0
2013-06-01,1839.0
2013-07-01,1859.0
2013-08-01,1874.0
2013-09-01,1890.0
2013-10-01,1914.0
2013-11-01,1948.0
2013-12-01,1985.0
2014-01-01,2014.0
2014-02-01,2016.0
2014-03-01,1983.0
2014-04-01,1940.0
2014-05-01,1908.0
2014-06-01,1906.0
2014-07-01,1940.0
2014-08-01,1994.0
2014-09-01,2053.0
2014-10-01,2093.0
2014-11-01,2108.0
2014-12-01,2109.0
2015-01-01,2089.0
2015-02-01,2065.0
2015-03-01,2055.0
2015-04-01,2067.0
2015-05-01,2081.0
2015-06-01,2097.0
2015-07-01,2110.0
2015-08-01,2131.0
2015-09-01,2149.0
2015-10-01,2164.0
2015-11-01,2184.0
2015-12-01,2195.0
2016-01-01,2203.0
2016-02-01,2195.0
2016-03-01,2181.0
2016-04-01,2156.0
2016-05-01,2140.0
2016-06-01,2140.0
2016-07-01,2153.0
2016-08-01,2170.0
2016-09-01,2177.0
2016-10-01,2176.0
2016-11-01,2159.0
2016-12-01,2132.0
2017-01-01,2098.0
2017-02-01,2075.0
2017-03-01,2054.0
2017-04-01,2037.0
2017-05-01,2020.0
2017-06-01,2015.0
2017-07-01,2027.0
2017-08-01,2051.0
2017-09-01,2077.0
2017-10-01,2098.0
2017-11-01,2110.0
2017-12-01,2114.0
2018-01-01,2118.0
2018-02-01,2120.0
2018-03-01,2115.0
2018-04-01,2104.0
2018-05-01,2094.0
2018-06-01,2089.0
2018-07-01,2085.0
2018-08-01,2084.0
2018-09-01,2083.0
2018-10-01,2085.0
2018-11-01,2095.0
2018-12-01,2105.0
2019-01-01,2111.0
2019-02-01,2183.7
2019-03-01,2167.7
2019-04-01,2140.5
2019-05-01,2106.3
2019-06-01,2083.7
2019-07-01,2062.7
2019-08-01,2045.3
2019-09-01,2028.1
2019-10-01,2022.4
2019-11-01,2033.6
2019-12-01,2056.6
2020-01-01,2082.1
2020-02-01,2102.6
2020-03-01,2114.4
2020-04-01,2118.3
2020-05-01,2122.1
2020-06-01,2124.2
2020-07-01,2121.1
2020-08-01,2112.0
2020-09-01,2103.1
2020-10-01,2098.5
2020-11-01,2095.7
2020-12-01,2094.1
2021-01-01,2092.5
2021-02-01,2094.0
2021-03-01,2103.3
2021-04-01,2112.7
