zpid, address, city, state, postal_code, price, info, location, property_url, title, lat, lng
2125023194,207 14th St APT 2F,Hoboken,NJ,07030,$2500/mo,2 bds  1 ba  850 sqft,207 14th St APT 2F Hoboken NJ,https://www.zillow.com/homedetails/207-14th-St-APT-2F-Hoboken-NJ-07030/2125023194_zpid/,Apartment for rent,40753399,-74028337
2085556784,14th St,Hoboken,NJ,07030,$2600/mo,2 bds  1 ba  950 sqft,14th St Hoboken NJ,https://www.zillow.com/homedetails/14th-St-Hoboken-NJ-07030/2085556784_zpid/,Condo for rent,40753750,-74028780
2100055720,1129 Washington St,Hoboken,NJ,07030,$3200/mo,2 bds  1 ba  1100 sqft,1129 Washington St Hoboken NJ,https://www.zillow.com/homedetails/1129-Washington-St-Hoboken-NJ-07030/2100055720_zpid/,Apartment for rent,40750200,-74026802
2085558644,Grand St,Hoboken,NJ,07030,$2900/mo,3 bds  1 ba  -- sqft,Grand St Hoboken NJ,https://www.zillow.com/homedetails/Grand-St-Hoboken-NJ-07030/2085558644_zpid/,Apartment for rent,40745710,-74034140
2085558977,1316 Bloomfield St,Hoboken,NJ,07030,$3300/mo,3 bds  1.5 ba  1212 sqft,1316 Bloomfield St Hoboken NJ,https://www.zillow.com/homedetails/1316-Bloomfield-St-Hoboken-NJ-07030/2085558977_zpid/,Apartment for rent,40752743,-74027269
2085559303,299 Bloomfield St,Hoboken,NJ,07030,$3195/mo,2 bds  1.5 ba  950 sqft,299 Bloomfield St Hoboken NJ,https://www.zillow.com/homedetails/299-Bloomfield-St-Hoboken-NJ-07030/2085559303_zpid/,Apartment for rent,40739947,-74030805
2085560239,72 Jackson St # 8,Hoboken,NJ,07030,$2550/mo,2 bds  2 ba  -- sqft,72 Jackson St # 8 Hoboken NJ,https://www.zillow.com/homedetails/72-Jackson-St-8-Hoboken-NJ-07030/2085560239_zpid/,Apartment for rent,40738277,-74041524
2094916971,1st St,Hoboken,NJ,07030,$4050/mo,3 bds  2 ba  1100 sqft,1st St Hoboken NJ,https://www.zillow.com/homedetails/1st-St-Hoboken-NJ-07030/2094916971_zpid/,Apartment for rent,40738740,-74038246
1001447466,None,None,None,None,None,1 $2705+ 2 $3490+ 3 $4800+,1000 Jefferson St Hoboken NJ,https://www.zillow.com/b/1000-jefferson-street-apartments-hoboken-nj-5Xj9zP/,1000 Jefferson Street Apartments,40740393,-74040909
2099861902,222 Bloomfield St # 3,Hoboken,NJ,07030,$3195/mo,2 bds  1.5 ba  975 sqft,222 Bloomfield St # 3 Hoboken NJ,https://www.zillow.com/homedetails/222-Bloomfield-St-3-Hoboken-NJ-07030/2099861902_zpid/,Condo for rent,40739702,-74031370
1001487202,None,None,None,None,None,2 $3295+,235 Hudson St Hoboken NJ,https://www.zillow.com/b/hudson-square-north-hoboken-nj-5XjVXL/,Hudson Square North,40739410,-74028889
1001483623,None,None,None,None,None,0 $2706+ 1 $2969+ 2 $3781+ 3 $5409,77 Park Ave Hoboken NJ,https://www.zillow.com/b/77-park-avenue-hoboken-nj-5XjT4J/,77 Park Avenue,40737139,-74033633
1001522651,None,None,None,None,None,0 $2790+ 1 $3180+,333 River St Hoboken NJ,https://www.zillow.com/b/hoboken-south-waterfront-hoboken-nj-5XjpJn/,Hoboken South Waterfront,40740615,-74027145
1001780202,None,None,None,None,None,1 $2704+ 2 $3709+ 3 $4390,800 Jefferson St Hoboken NJ,https://www.zillow.com/b/courtyard-at-jefferson-hoboken-nj-5XmzYw/,Courtyard at Jefferson,40747560,-74035856
2085568755,205 14th St APT 4F,Hoboken,NJ,07030,$2800/mo,2 bds  1 ba  850 sqft,205 14th St APT 4F Hoboken NJ,https://www.zillow.com/homedetails/205-14th-St-APT-4F-Hoboken-NJ-07030/2085568755_zpid/,Condo for rent,40753477,-74028263
1001485871,None,None,None,None,None,1 $2884+ 2 $3720+ 3 $4859+,51 Garden St Hoboken NJ,https://www.zillow.com/b/observer-park-hoboken-nj-5XjTzB/,Observer Park,40736013,-74032815
1150579413,None,None,None,None,None,1 $3226+ 2 $4178+ 3 $5793,1450 Garden St Hoboken NJ,https://www.zillow.com/b/park-%2b-garden-hoboken-nj-65ZmQW/,Park + Garden,40754409,-74028083
55346559,312 Madison St APT 3B,HOBOKEN,NJ,07030,$3100/mo,2 bds  2 ba  1000 sqft,312 Madison St APT 3B Hoboken NJ,https://www.zillow.com/homedetails/312-Madison-St-APT-3B-Hoboken-NJ-07030/55346559_zpid/,Apartment for rent,40742033,-74038417
38882906,117 Clinton St APT 2FS,Hoboken,NJ,07030,$2395/mo,1 bd  1 ba  729 sqft,117 Clinton St APT 2FS Hoboken NJ,https://www.zillow.com/homedetails/117-Clinton-St-APT-2FS-Hoboken-NJ-07030/38882906_zpid/,Apartment for rent,40738825,-74034963
2085571793,Hudson St,Hoboken,NJ,07030,$2600/mo,1 bd  1 ba  -- sqft,Hudson St Hoboken NJ,https://www.zillow.com/homedetails/Hudson-St-Hoboken-NJ-07030/2085571793_zpid/,Condo for rent,40748360,-74026400
2085571896,Bloomfield St,Hoboken,NJ,07030,$2600/mo,1 bd  1 ba  775 sqft,Bloomfield St Hoboken NJ,https://www.zillow.com/homedetails/Bloomfield-St-Hoboken-NJ-07030/2085571896_zpid/,Apartment for rent,40743610,-74029890
92208575,1300 Park Ave APT 3B,HOBOKEN,NJ,07030,$2850/mo,2 bds  2 ba  900 sqft,1300 Park Ave APT 3B Hoboken NJ,https://www.zillow.com/homedetails/1300-Park-Ave-APT-3B-Hoboken-NJ-07030/92208575_zpid/,Condo for rent,40752861,-74029242
2085572210,1033 Jefferson St # 3,Hoboken,NJ,07030,$2700/mo,2 bds  1 ba  -- sqft,1033 Jefferson St # 3 Hoboken NJ,https://www.zillow.com/homedetails/1033-Jefferson-St-3-Hoboken-NJ-07030/2085572210_zpid/,Apartment for rent,40749904,-74034619
2086190796,Washington St,Hoboken,NJ,07030,$2200/mo,1 bd  1 ba  -- sqft,Washington St Hoboken NJ,https://www.zillow.com/homedetails/Washington-St-Hoboken-NJ-07030/2086190796_zpid/,Apartment for rent,40743370,-74028510
2085572279,747 Madison St # 2,Hoboken,NJ,07030,$2650/mo,2 bds  1 ba  700 sqft,747 Madison St # 2 Hoboken NJ,https://www.zillow.com/homedetails/747-Madison-St-2-Hoboken-NJ-07030/2085572279_zpid/,Apartment for rent,40746740,-74036598
2085572306,737 Adams St,Hoboken,NJ,07030,$2790/mo,3 bds  1 ba  1200 sqft,737 Adams St Hoboken NJ,https://www.zillow.com/homedetails/737-Adams-St-Hoboken-NJ-07030/2085572306_zpid/,Apartment for rent,40746317,-74034753
2085572363,1140 Maxwell Ln,Hoboken,NJ,07030,$3800/mo,1 bd  2 ba  1080 sqft,1140 Maxwell Ln Hoboken NJ,https://www.zillow.com/homedetails/1140-Maxwell-Ln-Hoboken-NJ-07030/2085572363_zpid/,Apartment for rent,40749373,-74025351
2085572386,258 1st St APT 2,Hoboken,NJ,07030,$2395/mo,3 bds  1 ba  1000 sqft,258 1st St APT 2 Hoboken NJ,https://www.zillow.com/homedetails/258-1st-St-APT-2-Hoboken-NJ-07030/2085572386_zpid/,Apartment for rent,40738202,-74034033
2085572428,1003 Hudson St,Hoboken,NJ,07030,$2600/mo,1 bd  1 ba  -- sqft,1003 Hudson St Hoboken NJ,https://www.zillow.com/homedetails/1003-Hudson-St-Hoboken-NJ-07030/2085572428_zpid/,Apartment for rent,40748476,-74026139
40.742435--74.037398,None,None,None,None,None,1 $2200+ 2 $2750,517 4th St Hoboken NJ,https://www.zillow.com/b/517-4th-St-Hoboken-NJ/40.742435-74.037398_ll/,For Rent,40742435,-74037398
2138749187,421 Jackson St APT 3B,Hoboken,NJ,07030,$2195/mo,1 bd  1 ba  618 sqft,421 Jackson St APT 3B Hoboken NJ,https://www.zillow.com/homedetails/421-Jackson-St-APT-3B-Hoboken-NJ-07030/2138749187_zpid/,Apartment for rent,40743785,-74039437
1001487280,None,None,None,None,None,1 $2899+ 2 $3350+,300 Grand St Hoboken NJ,https://www.zillow.com/b/grand-adams-hoboken-nj-5XjVYw/,Grand Adams,40741103,-74035747
1002217947,None,None,None,None,None,1 $2760+ 2 $3665 3 $4550+,205 Hudson St Hoboken NJ,https://www.zillow.com/b/hudson-square-south-hoboken-nj-5XrhtV/,Hudson Square South,40738764,-74029059
1001454331,None,None,None,None,None,1 $3400 2 $4500+,1025 Maxwell Ln Hoboken NJ,https://www.zillow.com/b/1025-Maxwell-Ln-Hoboken-NJ/40.749122-74.027009_ll/,For Rent,40749122,-74027009
