2019-03-06T15:09:59.537-0500 I CONTROL  [initandlisten] MongoDB starting : pid=69962 port=27017 dbpath=/Users/ryne/SSW695_DuckHome/duck_base/data 64-bit host=RyneMBP.local
2019-03-06T15:09:59.538-0500 I CONTROL  [initandlisten] db version v3.6.10
2019-03-06T15:09:59.538-0500 I CONTROL  [initandlisten] git version: 3e3ab85bfb98875af3bc6e74eeb945b0719f69c8
2019-03-06T15:09:59.539-0500 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.1.0i  14 Aug 2018
2019-03-06T15:09:59.540-0500 I CONTROL  [initandlisten] allocator: system
2019-03-06T15:09:59.540-0500 I CONTROL  [initandlisten] modules: none
2019-03-06T15:09:59.541-0500 I CONTROL  [initandlisten] build environment:
2019-03-06T15:09:59.542-0500 I CONTROL  [initandlisten]     distarch: x86_64
2019-03-06T15:09:59.543-0500 I CONTROL  [initandlisten]     target_arch: x86_64
2019-03-06T15:09:59.543-0500 I CONTROL  [initandlisten] options: { config: "conf/mongod.conf", net: { port: 27017 }, processManagement: { fork: true }, storage: { dbPath: "data" }, systemLog: { destination: "file", path: "log/mongod.log" } }
2019-03-06T15:09:59.545-0500 I -        [initandlisten] Detected data files in /Users/ryne/SSW695_DuckHome/duck_base/data created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2019-03-06T15:09:59.546-0500 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2019-03-06T15:10:00.222-0500 I STORAGE  [initandlisten] WiredTiger message [1551903000:222522][69962:0x114f865c0], txn-recover: Main recovery loop: starting at 5/38513408
2019-03-06T15:10:00.307-0500 I STORAGE  [initandlisten] WiredTiger message [1551903000:307853][69962:0x114f865c0], txn-recover: Recovering log 5 through 6
2019-03-06T15:10:00.352-0500 I STORAGE  [initandlisten] WiredTiger message [1551903000:352363][69962:0x114f865c0], txn-recover: Recovering log 6 through 6
2019-03-06T15:10:00.403-0500 I STORAGE  [initandlisten] WiredTiger message [1551903000:403084][69962:0x114f865c0], txn-recover: Set global recovery timestamp: 0
2019-03-06T15:10:00.510-0500 I CONTROL  [initandlisten] 
2019-03-06T15:10:00.511-0500 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
