date,price
2010-11,2534.0
2010-12,2553.0
2011-01,2553.0
2011-02,2539.0
2011-03,2525.0
2011-04,2509.0
2011-05,2493.0
2011-06,2478.0
2011-07,2476.0
2011-08,2502.0
2011-09,2539.0
2011-10,2563.0
2011-11,2569.0
2011-12,2571.0
2012-01,2582.0
2012-02,2595.0
2012-03,2613.0
2012-04,2635.0
2012-05,2644.0
2012-06,2646.0
2012-07,2639.0
2012-08,2641.0
2012-09,2653.0
2012-10,2671.0
2012-11,2686.0
2012-12,2695.0
2013-01,2690.0
2013-02,2670.0
2013-03,2643.0
2013-04,2628.0
2013-05,2633.0
2013-06,2642.0
2013-07,2651.0
2013-08,2655.0
2013-09,2652.0
2013-10,2654.0
2013-11,2653.0
2013-12,2655.0
2014-01,2655.0
2014-02,2649.0
2014-03,2646.0
2014-04,2637.0
2014-05,2640.0
2014-06,2650.0
2014-07,2679.0
2014-08,2724.0
2014-09,2775.0
2014-10,2814.0
2014-11,2831.0
2014-12,2839.0
2015-01,2848.0
2015-02,2855.0
2015-03,2858.0
2015-04,2856.0
2015-05,2851.0
2015-06,2847.0
2015-07,2862.0
2015-08,2890.0
2015-09,2916.0
2015-10,2926.0
2015-11,2926.0
2015-12,2926.0
2016-01,2932.0
2016-02,2920.0
2016-03,2904.0
2016-04,2887.0
2016-05,2899.0
2016-06,2911.0
2016-07,2913.0
2016-08,2914.0
2016-09,2921.0
2016-10,2925.0
2016-11,2916.0
2016-12,2897.0
2017-01,2873.0
2017-02,2847.0
2017-03,2819.0
2017-04,2805.0
2017-05,2811.0
2017-06,2838.0
2017-07,2863.0
2017-08,2873.0
2017-09,2865.0
2017-10,2835.0
2017-11,2803.0
2017-12,2772.0
2018-01,2754.0
2018-02,2745.0
2018-03,2742.0
2018-04,2741.0
2018-05,2738.0
2018-06,2732.0
2018-07,2728.0
2018-08,2725.0
2018-09,2724.0
2018-10,2723.0
2018-11,2713.0
2018-12,2704.0
2019-01,2696.0
