date,price
2010-11,1787.0
2010-12,1812.0
2011-01,1822.0
2011-02,1827.0
2011-03,1846.0
2011-04,1859.0
2011-05,1862.0
2011-06,1830.0
2011-07,1796.0
2011-08,1760.0
2011-09,1735.0
2011-10,1710.0
2011-11,1691.0
2011-12,1670.0
2012-01,1646.0
2012-02,1625.0
2012-03,1626.0
2012-04,1649.0
2012-05,1678.0
2012-06,1709.0
2012-07,1739.0
2012-08,1785.0
2012-09,1814.0
2012-10,1827.0
2012-11,1814.0
2012-12,1806.0
2013-01,1800.0
2013-02,1800.0
2013-03,1796.0
2013-04,1803.0
2013-05,1816.0
2013-06,1839.0
2013-07,1859.0
2013-08,1874.0
2013-09,1890.0
2013-10,1914.0
2013-11,1948.0
2013-12,1985.0
2014-01,2014.0
2014-02,2016.0
2014-03,1983.0
2014-04,1940.0
2014-05,1908.0
2014-06,1906.0
2014-07,1940.0
2014-08,1994.0
2014-09,2053.0
2014-10,2093.0
2014-11,2108.0
2014-12,2109.0
2015-01,2089.0
2015-02,2065.0
2015-03,2055.0
2015-04,2067.0
2015-05,2081.0
2015-06,2097.0
2015-07,2110.0
2015-08,2131.0
2015-09,2149.0
2015-10,2164.0
2015-11,2184.0
2015-12,2195.0
2016-01,2203.0
2016-02,2195.0
2016-03,2181.0
2016-04,2156.0
2016-05,2140.0
2016-06,2140.0
2016-07,2153.0
2016-08,2170.0
2016-09,2177.0
2016-10,2176.0
2016-11,2159.0
2016-12,2132.0
2017-01,2098.0
2017-02,2075.0
2017-03,2054.0
2017-04,2037.0
2017-05,2020.0
2017-06,2015.0
2017-07,2027.0
2017-08,2051.0
2017-09,2077.0
2017-10,2098.0
2017-11,2110.0
2017-12,2114.0
2018-01,2118.0
2018-02,2120.0
2018-03,2115.0
2018-04,2104.0
2018-05,2094.0
2018-06,2089.0
2018-07,2085.0
2018-08,2084.0
2018-09,2083.0
2018-10,2085.0
2018-11,2095.0
2018-12,2105.0
2019-01,2111.0
