date,price
2010-11,1864.0
2010-12,1841.0
2011-01,1830.0
2011-02,1827.0
2011-03,1828.0
2011-04,1832.0
2011-05,1844.0
2011-06,1855.0
2011-07,1875.0
2011-08,1896.0
2011-09,1928.0
2011-10,1931.0
2011-11,1920.0
2011-12,1897.0
2012-01,1902.0
2012-02,1906.0
2012-03,1907.0
2012-04,1905.0
2012-05,1932.0
2012-06,1979.0
2012-07,2035.0
2012-08,2069.0
2012-09,2080.0
2012-10,2067.0
2012-11,2049.0
2012-12,2043.0
2013-01,2040.0
2013-02,2042.0
2013-03,2049.0
2013-04,2064.0
2013-05,2062.0
2013-06,2047.0
2013-07,2017.0
2013-08,2026.0
2013-09,2042.0
2013-10,2070.0
2013-11,2073.0
2013-12,2074.0
2014-01,2086.0
2014-02,2104.0
2014-03,2103.0
2014-04,2101.0
2014-05,2100.0
2014-06,2118.0
2014-07,2138.0
2014-08,2163.0
2014-09,2185.0
2014-10,2235.0
2014-11,2276.0
2014-12,2311.0
2015-01,2317.0
2015-02,2317.0
2015-03,2324.0
2015-04,2320.0
2015-05,2302.0
2015-06,2280.0
2015-07,2275.0
2015-08,2286.0
2015-09,2300.0
2015-10,2297.0
2015-11,2295.0
2015-12,2300.0
2016-01,2313.0
2016-02,2333.0
2016-03,2333.0
2016-04,2307.0
2016-05,2267.0
2016-06,2236.0
2016-07,2215.0
2016-08,2184.0
2016-09,2152.0
2016-10,2125.0
2016-11,2107.0
2016-12,2095.0
2017-01,2084.0
2017-02,2072.0
2017-03,2063.0
2017-04,2058.0
2017-05,2067.0
2017-06,2090.0
2017-07,2123.0
2017-08,2156.0
2017-09,2180.0
2017-10,2207.0
2017-11,2225.0
2017-12,2236.0
2018-01,2228.0
2018-02,2211.0
2018-03,2187.0
2018-04,2163.0
2018-05,2145.0
2018-06,2134.0
2018-07,2125.0
2018-08,2121.0
2018-09,2119.0
2018-10,2120.0
2018-11,2121.0
2018-12,2125.0
2019-01,2127.0
