bed,bath,square,city,year_built,home_type,price
2,1.0,827,Hoboken,0,None,3200
1,1.0,733,Hoboken,0,None,3350
2,1.5,1006,Hoboken,0,None,4500
3,1.5,1423,Hoboken,0,None,6300
2,2.0,1006,Hoboken,0,None,2900
1,1.0,500,Hoboken,0,None,1800
1,1.0,733,Hoboken,0,None,2000
2,1.0,1006,Hoboken,0,None,1850
0,1.0,640,Hoboken,0,None,2711
1,1.0,733,Hoboken,0,None,3023
2,1.5,1006,Hoboken,0,None,3801
3,1.5,1423,Hoboken,0,None,5324
1,1.0,500,Hoboken,0,None,1800
0,1.0,640,Hoboken,0,None,2790
1,1.0,733,Hoboken,0,None,3270
2,1.5,1006,Hoboken,0,None,3920
1,1.0,733,Hoboken,0,None,2899
2,1.5,1006,Hoboken,0,None,3350
1,1.0,733,Hoboken,0,None,2704
2,1.5,1006,Hoboken,0,None,4523
3,1.5,1423,Hoboken,0,None,5536
2,2.0,1000,Hoboken,0,None,2900
0,1.0,500,Hoboken,0,None,1800
2,1.0,1049,Hoboken,0,None,2500
1,1.0,653,Hoboken,0,None,2500
2,2.0,1050,Hoboken,0,None,3100
2,2.0,1050,Hoboken,0,None,3100
1,1.0,654,Hoboken,0,None,2369
2,1.5,1006,Hoboken,0,None,3295
3,2.0,1475,Hoboken,0,None,4875
1,1.0,733,Hoboken,0,None,2920
3,1.5,1423,Hoboken,0,None,4550
1,1.0,875,Hoboken,0,None,2975
2,1.5,1006,Hoboken,0,None,3455
1,1.0,733,Hoboken,0,None,2933
2,1.5,1006,Hoboken,0,None,3506
3,1.5,1423,Hoboken,0,None,4793
1,1.0,733,Hoboken,0,None,2939
2,1.5,1006,Hoboken,0,None,3973
1,1.0,733,Hoboken,0,None,2900
2,1.5,1006,Hoboken,0,None,3850
2,1.5,1006,Hoboken,0,None,3575
1,1.0,733,Hoboken,0,None,3269
2,1.5,1006,Hoboken,0,None,4059
3,1.5,1423,Hoboken,0,None,5800
2,1.0,900,Hoboken,1,CONDO,2750
1,1.0,733,Hoboken,0,None,3100
2,1.5,1006,Hoboken,0,None,4500
2,1.5,1006,Hoboken,0,None,3525
1,1.0,733,Hoboken,1,APARTMENT,2100
2,2.0,988,Hoboken,1901,APARTMENT,3000
