bed,bath,square,city,price,year_built,home_type
1.0,1,1095,None,3350.0,,
2.0,1,1095,None,4500.0,,
2.0,2.0,810,Hoboken,2550.0,,
2.0,1,1095,None,1900.0,,
1.0,1.0,706,Hoboken,2100.0,,
1.0,1.0,930,Hoboken,1900.0,,
0.0,1,1095,None,2790.0,,
1.0,1,1095,None,3270.0,,
2.0,1,1095,None,3920.0,,
1.0,1,1095,None,2200.0,,
1.0,1,1095,None,2884.0,,
2.0,1,1095,None,3925.0,,
3.0,1,1095,None,4859.0,,
1.0,1.0,684,Hoboken,2300.0,1,APARTMENT
1.0,1,1095,None,2890.0,,
2.0,1,1095,None,3850.0,,
1.0,1.0,959,Hoboken,2500.0,1,APARTMENT
2.0,1,1095,None,3385.0,,
3.0,1.5,1100.0,Hoboken,3200.0,,
1.0,1,1095,None,2300.0,,
1.0,1.0,666,Hoboken,2700.0,1,APARTMENT
3.0,2.0,1200.0,Hoboken,4000.0,1,APARTMENT
1.0,1.0,997,Hoboken,2000.0,1,APARTMENT
1.0,1.0,755,Hoboken,1925.0,1,APARTMENT
2.0,2.0,1045,Hoboken,2800.0,,
1.0,1.0,700.0,Jersey City,2000.0,1908,CONDO
1.0,1.0,621.0,HOBOKEN,2500.0,1901,CONDO
1.0,1.0,870,Hoboken,2150.0,1,APARTMENT
1.0,1.0,650.0,Hoboken,1500.0,,
1.0,1.0,1207.0,Hoboken,1700.0,,
2.0,1.0,850.0,Hoboken,2650.0,,
2.0,1.0,1000.0,Hoboken,2500.0,1,APARTMENT
0.0,1,1095,None,3712.0,,
1.0,1,1095,None,2979.0,,
2.0,1,1095,None,3450.0,,
3.0,1,1095,None,4916.0,,
3.0,1.0,744,Hoboken,2900.0,,
2.0,1.0,1100.0,Hoboken,3200.0,1,APARTMENT
3.0,1.5,1212.0,Hoboken,3300.0,1,APARTMENT
2.0,1.5,950.0,Hoboken,3195.0,,
3.0,2.0,1100.0,Hoboken,4050.0,,
1.0,1,1095,None,2862.0,,
2.0,1,1095,None,3793.0,,
3.0,1,1095,None,5048.0,,
2.0,1.0,850.0,Hoboken,2800.0,,
2.0,2.0,1000.0,HOBOKEN,3100.0,2000,APARTMENT
1.0,1.0,729.0,Hoboken,2395.0,1901,APARTMENT
1.0,1.0,722,Hoboken,2600.0,1,CONDO
1.0,1.0,775.0,Hoboken,2600.0,1,APARTMENT
1.0,1.0,992,Hoboken,2200.0,,
2.0,1.0,1018,Hoboken,2700.0,,
2.0,1.0,700.0,Hoboken,2650.0,,
3.0,1.0,1200.0,Hoboken,2790.0,,
1.0,2.0,1080.0,Hoboken,3800.0,,
1.0,1.0,1048,Hoboken,2600.0,,
2.0,2.0,900.0,HOBOKEN,2850.0,2008,CONDO
1.0,1,1095,None,2200.0,,
2.0,1,1095,None,2750.0,,
3.0,1.0,1000.0,Hoboken,2395.0,1,APARTMENT
2.0,2.0,1050.0,Hoboken,2900.0,1,APARTMENT
2.0,2.0,1000.0,Hoboken,3000.0,1,CONDO
1.0,1.0,993,Hoboken,1900.0,,
1.0,1.0,600.0,Hoboken,1700.0,1,APARTMENT
1.0,1.0,1000.0,Hoboken,2400.0,1,APARTMENT
2.0,1.5,1100.0,Hoboken,4500.0,1,APARTMENT
2.0,2.0,1260.0,Hoboken,4400.0,1,APARTMENT
1.0,1.0,570.0,Hoboken,2300.0,1,APARTMENT
3.0,1.0,1100.0,Hoboken,3500.0,1921,APARTMENT
1.0,1.0,618.0,Hoboken,2195.0,2005,APARTMENT
1.0,1.0,600.0,Hoboken,1975.0,,
3.0,2.0,1400.0,Hoboken,4050.0,2001,APARTMENT
1.0,1.0,780.0,Hoboken,2800.0,1,APARTMENT
2.0,1.0,812.0,HOBOKEN,2700.0,1901,APARTMENT
1.0,1.0,701,Hoboken,1900.0,,
3.0,2.0,1300.0,HOBOKEN,4050.0,,
2.0,1.0,1000.0,Hoboken,2800.0,1,CONDO
1.0,1,1095,None,2050.0,,
1.0,1.0,500.0,Hoboken,1725.0,,
3.0,2.0,1773.0,HOBOKEN,5600.0,2008,APARTMENT
1.0,1,1095,None,2200.0,,
2.0,1,1095,None,2750.0,,
2.0,1.0,650.0,Hoboken,1975.0,1,MULTI_FAMILY
1.0,1.0,900.0,Hoboken,2575.0,1,APARTMENT
2.0,2.0,797.0,HOBOKEN,2650.0,1901,APARTMENT
3.0,2.0,1260.0,HOBOKEN,4000.0,2002,APARTMENT
4.0,2.0,1400.0,Hoboken,3950.0,,
2.0,2.0,1060.0,Hoboken,2500.0,1901,APARTMENT
